,department,new_code
0,7ed47ad3-61a2-423c-937b-c23bf4ad05f3,13
1,f57143f5-672f-4c78-89f1-242f7a2d8a65,24
3,22f2e7c7-6679-41fd-9c1d-6e9562b51bce,2
4,451ffc74-a780-4ae0-adba-ff8caa8f4b91,5
5,c556530b-d0a9-4beb-bc19-7044962f9aa8,21
6,fc537967-e742-4916-b487-8dedc17a11f5,26
17,e34c118c-7249-4630-a027-7cd775e2d8ac,23
21,b197ee3a-3ae9-47e7-98ec-2cae3c60a587,18
66,31939250-483b-498b-8539-e49e56f425f9,3
114,a6d41062-6792-4b0b-9e2a-a8c25ffffc18,17
135,7284270c-49c9-4d77-b41e-090a09fc2943,11
162,5c829257-734d-4ac0-9c4f-776b954331f0,9
263,80ff8835-772a-47d8-812b-98ee2e5c85b4,14
283,040ad82b-9260-4168-a8ec-cc73ca18c1c3,0
371,3d1d59f3-6a49-4250-ad58-4420ac3d9e4b,4
826,f8ff224e-8231-4078-85c2-fc96af74701b,25
990,c2e38770-006e-443b-b8e3-1c438f37654e,19
1059,91ba2b07-8614-4736-a6af-5dce76433558,15
1153,52008c81-56a9-49e5-bbe5-8ef42ea6cbe2,6
1425,c3866a69-2caf-4416-815e-8e06eee799a9,20
1741,53a013fa-c345-4667-a06c-d45f740f8e4f,7
5400,78342d6c-8b9b-4e5f-86e6-2a6755c1d5bf,12
12784,cd1c32f2-5279-4de2-b5f3-44157e4f948d,22
12802,666de365-c86c-4082-9d82-52e2300bff62,10
21052,07997a7d-bb79-4e8d-abc5-bc30b289c470,1
31469,a36ea8af-c3b3-4119-aed7-4e195c06ff32,16
49294,56cd4c54-859c-4449-9269-2ec5aa9d4fec,8
