,product,new_code
0,99d32476-f1eb-4af8-a7d9-28ebd8e1ce12,14095
1,c54bcaef-b3b9-4601-a5da-8519d33d3b81,18108
2,abad439e-5bc0-4097-82e8-e87f0cb057ff,15743
3,fc007164-7f6e-4833-9e36-e141c3fb4fe6,23231
4,f1fc2f7e-2aaa-484d-be31-8369b609cab0,22272
5,07bae3dd-f87e-44cb-96ae-eb56a187dc9e,697
6,3e8ea47c-a8ac-4ce3-8d76-8182a38e2413,5810
7,2144f62d-b166-4653-9c64-cf47bfff75dc,3109
8,95f08b6e-78d1-4a7d-9162-f0bf44df225d,13742
9,69d9f1f6-13e4-434c-9c10-7b800773c07a,9741
10,8ff236d4-dcd9-4416-a143-cd78b2331bc2,13164
11,ed6fe2a6-7d92-4c47-93ce-141e7aa65ab9,21835
12,6f1eb83e-234e-4780-99db-87fb2acd3ed7,10220
13,3827bb0c-38e4-4f43-97b2-874960d1e191,5219
14,3acd7ee6-7c37-4f48-8767-7a9d23367359,5464
15,f8a75c52-b6ab-41ae-ae70-c81a7b6ef83d,22912
16,1afe1645-aa06-47a5-ab5d-e9b6376f752b,2518
17,cf0b5c11-ac86-4d74-9870-2f69c1c1bc99,19013
18,259d99fe-f58e-43d1-8abd-46594bc87c42,3524
19,813727be-d8a7-4cff-be18-eb9925bef9ef,11872
20,0d93d5f8-0b82-4d4f-a988-8fd7c1d13bd5,1252
21,37db64a3-ec23-45d2-bc6e-82c374f4d417,5183
22,a004d9f1-ff9a-46e6-bc28-efd97197048a,14660
23,045a66c6-d81c-4997-b8f4-f30d3fc9ae1d,386
24,fa7e998b-d76a-465a-acb8-b22b5096042f,23087
25,4e3e6727-27a7-4e3c-af05-582dabcf7161,7185
26,60179cb1-51fd-47f6-a9fd-93f37b6227d0,8825
27,065155bd-275e-4b3b-8403-58be22bf00d2,568
28,3356b4a6-d50b-4dc6-a67a-16004216c748,4755
29,c1af72f2-1bb5-4e15-ba74-141a288b7f80,17767
30,1253e86b-9d7c-4eda-8b25-2fbb662c7e2e,1696
31,6adb10e1-39ff-48a5-9215-c34b62687cf6,9824
32,02d54d39-5d2a-4b07-a68e-0f6e996a7e21,255
33,1d44c541-ce03-45df-be50-3d0df4ecf363,2736
34,2fb8fe90-dbd3-4c02-9c59-5e07b2e63e67,4395
35,3a8435d9-c59a-4ac8-9585-5f577b784b00,5437
36,c5afd869-dc23-4755-86fc-1fa6d9a4929e,18146
37,1b1d0ba6-71b5-4d00-b0b7-960b03fd28d1,2533
38,f45a0791-3fbe-4d00-be27-5fb397f8b3a8,22489
39,b976ca58-d70b-42e5-ab19-b65935330eef,17001
41,49c8b62a-9c3f-41e4-9619-659cc8a1cc53,6780
42,fe49b9c8-8d6f-46de-bcdd-e549622486d9,23424
