,store,new_code
0,38177bc5-93b3-4b7a-ad27-d6aa162ccc9a,16
1,3f6de5e8-3b20-4237-89dc-ee4eff7625a3,22
2,68e916ca-f999-4e5a-9c34-f277f9bc2867,38
3,025c6e08-592c-4f3d-8a9e-6d6b685fef33,0
5,d8120144-7e98-41f3-9859-2c607f07ccf7,76
6,378fe327-9188-4a60-adb2-4f880d2978ae,15
8,1cff4fbb-7111-4342-bcf9-d86e84d55aec,8
9,48ccd6aa-af11-4ff5-a95a-7dca2aeb45c4,26
10,cece3286-dae9-4bda-96a8-a1c5c267acd9,73
11,cc625a0b-52aa-43f9-a3fa-94ca6fb6266e,72
12,de88ea75-344d-4157-9698-f12e88a5fe18,82
14,e6f89419-f116-4fa2-a6e2-631f0796ebf6,90
17,39653f7d-f888-4f53-9cfe-d9143f7e03e0,17
20,799535d4-68d6-46ff-a67d-e13f4b452d0f,45
29,1d70239b-2f43-4af0-b663-933777cd253a,9
32,db24d634-4b4a-48c6-a955-2bca578fa36a,79
33,d812a2a0-67e5-4ae2-bd26-32141477bb8d,77
36,94df2f9b-ded1-41ee-8e95-6473b34ee9e3,52
39,3a3f43e0-b15c-41d0-b46e-35be7d2e5a2e,18
52,5af895f1-c7ae-477c-ab50-6cba9ef000aa,35
53,6658192e-0aa2-4df2-990e-a1c6c8181b95,36
55,b342776a-81e1-4022-803b-51898435257f,62
70,dd27d4dd-2133-4401-84f5-41ac1327c7fc,81
75,4d33a803-df00-43e3-a49f-db62c9db2c46,28
76,08fa1fe2-b1d2-4ee6-b303-7f6e4c172a96,2
101,d2f18209-9536-4cd7-8804-f1c01aeac520,75
115,2e90fced-d6ab-4e52-a4ed-ef9c8fd0f6b6,12
124,d9a8726a-e52b-428c-b0cf-34f5f63294eb,78
135,df87eecb-981c-4220-a9a6-d5f33dec899b,83
167,765f7393-9b58-42d5-aa86-d5e034ecfcf9,41
187,4ffea396-24cd-498d-b2c7-c4b1e2ea32c2,30
267,a9e514e7-a793-4a77-bad9-57b7ca89a790,58
292,938a081f-20d5-493d-90f3-adf7a4eb14d6,51
356,1206b045-9c0e-4c91-8268-c1e489f0c35d,6
421,11061022-d52f-4405-abd8-d8d1a3997180,4
687,177fd22d-d2e6-419f-b8d3-a8035c0bf5db,7
1065,2905f5dc-8f75-4a61-976b-144f42115d10,11
1402,3653eb5c-ff8d-444f-9067-589941992ac1,14
1552,3bb0060b-f31d-4af5-aa9a-900838f05c40,20
1973,3c0bdbe3-653a-40ed-95a0-3c6327fb1e89,21
2168,4378f6ff-c687-4684-91a8-90fae6f084d2,24
2349,49171894-8056-4ffb-9242-472997c4b865,27
2687,51cbbfb9-85a5-4032-8f03-7b1c43d08e49,31
3094,710ff6c2-00fa-4fae-9201-a4793754dbec,39
3260,73869acb-3d56-4375-9ba2-afe2bb3c2bf5,40
3455,78565808-0b91-4086-aa85-a53cca2f4456,44
3622,88a89e42-64aa-442d-9544-4fdad63f308f,49
4468,8d88ed3b-915d-436c-bb68-e2209bbeabe0,50
4527,994f7c18-ead1-4a8e-82ad-7d2e1e81a7a0,54
4833,a3fbf40e-3b91-4b29-b6cf-1bcff722e7ec,56
5292,aad5ef5c-11f4-43d9-8506-19cfacfa8fc2,59
5898,aae6f0c0-6895-4b79-94e2-9b964c5eac37,60
6242,ad4f2bbe-db20-4735-8d95-4015db4136ad,61
6292,b962d98f-acca-433f-9f0a-a07222627383,63
6336,c4ad5d5a-36c3-4480-b92d-151d292ad901,66
6372,c65d26bf-28d3-4125-81c6-7dfadcef573a,68
6409,c795d0e7-0d30-4782-ab9a-84557ddb3ea3,69
6542,e04fce44-9700-422d-9c42-f7c649a98e52,84
6664,f2d064b2-a928-48aa-be83-a5b3bfc02f41,93
6981,f37bf176-2d90-4ab8-b35d-b5c357524ab9,94
7251,f75c7c64-a007-4eda-96e2-0fc698e2538f,95
7471,fba05cc9-e1df-45b8-ba26-8f572aa41254,97
7501,e1b443d4-75e5-4b8e-a12a-6202098bf938,87
7513,d2e91dc0-178d-410e-8d9f-c8ca5f2653b6,74
7544,3b73c021-c99f-411d-b59d-194c1bfc6b86,19
7703,5aee13e1-e6b4-40ad-a431-2c2bee527829,34
7920,a3444489-4e4e-4a08-9a4e-fca0753d6c16,55
8157,20ee53f3-7e39-4079-bbe1-768df8f340ef,10
8158,781cf825-eb64-407f-80d7-696b25f10948,43
8460,a85cc14f-d52a-4414-879d-82e85dc365a8,57
8984,e13ee9d3-e008-4b6a-aa42-5a15355ab23a,86
9055,3fb9c643-b17b-4dbd-9912-99333e6d70d4,23
9704,7debafaf-fb17-458c-a05f-ddcdcc96bf9d,46
9816,80bbd688-0cf2-4b41-b9c6-bf67f7efd5ce,48
10019,e6a7f7d0-705b-4cdf-8b0b-c65de6f514cc,89
11582,1181de63-3f66-42f7-a68f-ff09f600c17e,5
83811,fe0b75d1-86fa-4f88-a1f0-5c36cbb985d0,99
83867,52d4bb1a-9003-4bcf-a7bd-e1f95b2b2f3e,32
84047,ea03bf01-5b15-4ce2-bf62-bf0202a95dfa,91
85362,bbc548af-a1ab-4a84-a17d-4a4660e151d7,65
85947,31ccca78-a368-4f3f-ab6e-1275a490b4e5,13
86351,98be36f2-c8e3-4a8a-9550-edda4265df50,53
89827,f9b2a75d-b80d-48f4-9336-702b14271bcc,96
90277,ba229123-cf43-4dbe-a2c8-70af88293b2c,64
90348,7f9af1ec-3af0-4a3f-802c-34565d7e49b1,47
92340,c538be47-3768-4896-977a-10f3d7662a8b,67
93158,076556e0-3cd4-445d-9b54-271875b665f3,1
97335,c95afa5e-e473-4ef5-9360-d285564be7cb,70
316505,e220f2ff-3374-49ee-be47-4e995acb9d05,88
316558,fdfa7f62-11a0-4765-8d0c-e1d2f7f217e1,98
317220,58c1fe2f-8ee3-4462-a648-13d66280b856,33
321068,ea17cb43-6c11-42ab-a8ee-a3d1ab3f5676,92
321080,77e1b69f-e552-4d65-810e-6e3443b5857a,42
322438,44e71fe6-d7a7-4757-bcd3-2a804ab3fdee,25
322950,e0f768b9-928b-41d2-99a3-28cce44d2dcc,85
323541,68db7e1d-324d-42b9-afd3-dfa753c88dc7,37
633132,4f324516-af96-4ad6-939c-480eda6a3813,29
634092,cbbc58dd-c79a-418f-9036-c484af54f4a2,71
635922,0bb126f2-38e2-4e58-abda-04cf1d24fd2b,3
866534,dcb6d0a3-2e4b-4bb0-9bef-0e2c61f3515f,80
